# frequency	word class	interpretation	lexinfo 2.0 instance	lexinfo 2.0 class	OLiA concept(s)
# 1	wd:Q36940674	_	_	_	
# 1	wd:Q36161	_	_	_	
# 1	wd:Q35505	_	_	_	
# 1	wd:Q349	_	_	_	
# 1	wd:Q3366864	_	_	_	
# 1	wd:Q3232931	_	_	_	
# 1	wd:Q29654788	_	_	_	
# 1	wd:Q28833099	_	_	_	
# 1	wd:Q217438	_	_	_	
# 1	wd:Q210523	_	_	_	
# 1	wd:Q2029372	_	_	_	
# 1	wd:Q19842659	_	_	_	
# 1	wd:Q1931259	_	_	_	
# 1	wd:Q1930668	_	_	_	
# 1	wd:Q18603649	_	_	_	
# 1	wd:Q185451	_	_	_	
# 1	wd:Q184439	_	_	_	
# 1	wd:Q1787727	_	_	_	
# 1	wd:Q1686000	_	_	_	
# 1	wd:Q168417	_	_	_	
# 1	wd:Q1555508	_	_	_	
# 1	wd:Q146078	_	_	_	
# 1	wd:Q138246	_	_	_	
# 1	wd:Q133311	_	_	_	
# 1	wd:Q1331793	_	_	_	
# 1	wd:Q131105	_	_	_	
# 1	wd:Q1257438	_	_	_	
# 1	wd:Q10265745	_	_	_	
