"чин"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%87%D0%B8%D0%BD-n>		<http://wordnet-rdf.princeton.edu/wn30/14429985-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/grad%C3%AB-n>		"gradë"@als	
"настроение"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B8%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/07551052-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/humor-n>		"humor"@als	
"настроение"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B8%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/07551052-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/karakter-n>		"karakter"@als	
"настроение"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BD%D0%B0%D1%81%D1%82%D1%80%D0%BE%D0%B5%D0%BD%D0%B8%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/07551052-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/natyr%C3%AB-n>		"natyrë"@als	
"украшение"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%83%D0%BA%D1%80%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/03169390-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/zbukurim-n>		"zbukurim"@als	
"украшение"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%83%D0%BA%D1%80%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/03169390-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/dekor-n>		"dekor"@als	
"украшение"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%83%D0%BA%D1%80%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/03169390-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/stoli-n>		"stoli"@als	
"склон"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%BA%D0%BB%D0%BE%D0%BD-n>		<http://wordnet-rdf.princeton.edu/wn30/09437454-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/tatpjete-n>		"tatpjete"@als	
"склон"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%BA%D0%BB%D0%BE%D0%BD-n>		<http://wordnet-rdf.princeton.edu/wn30/09437454-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/pjerr%C3%ABsi-n>		"pjerrësi"@als	
"склон"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%BA%D0%BB%D0%BE%D0%BD-n>		<http://wordnet-rdf.princeton.edu/wn30/09437454-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/shpat-n>		"shpat"@als	
"салата"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D0%B0%D0%BB%D0%B0%D1%82%D0%B0-n>		<http://wordnet-rdf.princeton.edu/wn30/07806221-n>		<http://compling.hss.ntu.edu.sg/omw/wns/als/sallat%C3%AB-n>		"sallatë"@als	
"знача"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%BD%D0%B0%D1%87%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02645839-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/peshe%2Cngarkes%C3%AB-v>		"peshe,ngarkesë"@als	
"знача"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%BD%D0%B0%D1%87%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02645839-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/lende%2Cmaterial-v>		"lende,material"@als	
"знача"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B7%D0%BD%D0%B0%D1%87%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/02645839-v>		<http://compling.hss.ntu.edu.sg/omw/wns/als/llogaris-v>		"llogaris"@als	
