"държане"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B4%D1%8A%D1%80%D0%B6%D0%B0%D0%BD%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/04910377-n>		<http://compling.hss.ntu.edu.sg/omw/wns/swe/n%C3%A4rvaro-n>		"närvaro"@sv	
"харизматичен"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%85%D0%B0%D1%80%D0%B8%D0%B7%D0%BC%D0%B0%D1%82%D0%B8%D1%87%D0%B5%D0%BD-a>		<http://wordnet-rdf.princeton.edu/wn30/00167077-a>		<http://compling.hss.ntu.edu.sg/omw/wns/swe/karismatisk-a>		"karismatisk"@sv	
"археологически"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B0%D1%80%D1%85%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8-a>		<http://wordnet-rdf.princeton.edu/wn30/02638392-a>		<http://compling.hss.ntu.edu.sg/omw/wns/swe/arkeologisk-a>		"arkeologisk"@sv	
"утешение"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%83%D1%82%D0%B5%D1%88%D0%B5%D0%BD%D0%B8%D0%B5-n>		<http://wordnet-rdf.princeton.edu/wn30/01211667-n>		<http://compling.hss.ntu.edu.sg/omw/wns/swe/tr%C3%B6st-n>		"tröst"@sv	
"подпомогна"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BF%D0%BE%D0%B4%D0%BF%D0%BE%D0%BC%D0%BE%D0%B3%D0%BD%D0%B0-v>		<http://wordnet-rdf.princeton.edu/wn30/00908351-v>		<http://compling.hss.ntu.edu.sg/omw/wns/swe/befr%C3%A4mja-v>		"befrämja"@sv	
"гълъб"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%B3%D1%8A%D0%BB%D1%8A%D0%B1-n>		<http://wordnet-rdf.princeton.edu/wn30/01811909-n>		<http://compling.hss.ntu.edu.sg/omw/wns/swe/duva-n>		"duva"@sv	
"оттеглям се"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BE%D1%82%D1%82%D0%B5%D0%B3%D0%BB%D1%8F%D0%BC%20%D1%81%D0%B5-v>		<http://wordnet-rdf.princeton.edu/wn30/02092476-v>		<http://compling.hss.ntu.edu.sg/omw/wns/swe/retirera-v>		"retirera"@sv	
"оттеглям се"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D0%BE%D1%82%D1%82%D0%B5%D0%B3%D0%BB%D1%8F%D0%BC%20%D1%81%D0%B5-v>		<http://wordnet-rdf.princeton.edu/wn30/01994442-v>		<http://compling.hss.ntu.edu.sg/omw/wns/swe/retirera-v>		"retirera"@sv	
"струя"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D1%82%D1%80%D1%83%D1%8F-n>		<http://wordnet-rdf.princeton.edu/wn30/07436100-n>		<http://compling.hss.ntu.edu.sg/omw/wns/swe/spurt-n>		"spurt"@sv	
"струя"@bg	<http://compling.hss.ntu.edu.sg/omw/wns/bul/%D1%81%D1%82%D1%80%D1%83%D1%8F-n>		<http://wordnet-rdf.princeton.edu/wn30/07436100-n>		<http://compling.hss.ntu.edu.sg/omw/wns/swe/sprut-n>		"sprut"@sv	
