"evel"@crh	<http://linguistic.linkeddata.es/id/apertium/lexiconCRH/evel-post-crh>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/evel_evvel-post-crh-sense>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/evel_evvel-post-crh-sense-evvel_evel-post-tr-sense-trans>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/evvel_evel-post-tr-sense>	<http://linguistic.linkeddata.es/id/apertium/lexiconTR/evvel-post-tr>		"evvel"@tr	
"Lebedın"@crh	<http://linguistic.linkeddata.es/id/apertium/lexiconCRH/Lebed%C4%B1n-np-crh>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Lebed%C4%B1n_Lebed%C4%B1n-np-crh-sense>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Lebed%C4%B1n_Lebed%C4%B1n-np-crh-sense-Lebed%C4%B1n_Lebed%C4%B1n-np-tr-sense-trans>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Lebed%C4%B1n_Lebed%C4%B1n-np-tr-sense>	<http://linguistic.linkeddata.es/id/apertium/lexiconTR/Lebed%C4%B1n-np-tr>		"Lebedın"@tr	
"ödeme"@crh	<http://linguistic.linkeddata.es/id/apertium/lexiconCRH/%C3%B6deme-n-crh>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/%C3%B6deme_%C3%B6deme-n-crh-sense>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/%C3%B6deme_%C3%B6deme-n-crh-sense-%C3%B6deme_%C3%B6deme-n-tr-sense-trans>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/%C3%B6deme_%C3%B6deme-n-tr-sense>	<http://linguistic.linkeddata.es/id/apertium/lexiconTR/%C3%B6deme-n-tr>		"ödeme"@tr	
"fikir"@crh	<http://linguistic.linkeddata.es/id/apertium/lexiconCRH/fikir-n-crh>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/fikir_d%C3%BC%C5%9F%C3%BCnce-n-crh-sense>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/fikir_d%C3%BC%C5%9F%C3%BCnce-n-crh-sense-d%C3%BC%C5%9F%C3%BCnce_fikir-n-tr-sense-trans>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/d%C3%BC%C5%9F%C3%BCnce_fikir-n-tr-sense>	<http://linguistic.linkeddata.es/id/apertium/lexiconTR/d%C3%BC%C5%9F%C3%BCnce-n-tr>		"düşünce"@tr	
"Tarutıne"@crh	<http://linguistic.linkeddata.es/id/apertium/lexiconCRH/Tarut%C4%B1ne-np-crh>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Tarut%C4%B1ne_Tarut%C4%B1ne-np-crh-sense>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Tarut%C4%B1ne_Tarut%C4%B1ne-np-crh-sense-Tarut%C4%B1ne_Tarut%C4%B1ne-np-tr-sense-trans>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Tarut%C4%B1ne_Tarut%C4%B1ne-np-tr-sense>	<http://linguistic.linkeddata.es/id/apertium/lexiconTR/Tarut%C4%B1ne-np-tr>		"Tarutıne"@tr	
"Nyu Deli"@crh	<http://linguistic.linkeddata.es/id/apertium/lexiconCRH/Nyu%20Deli-np-crh>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Nyu%20Deli_Yeni%20Delhi-np-crh-sense>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Nyu%20Deli_Yeni%20Delhi-np-crh-sense-Yeni%20Delhi_Nyu%20Deli-np-tr-sense-trans>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Yeni%20Delhi_Nyu%20Deli-np-tr-sense>	<http://linguistic.linkeddata.es/id/apertium/lexiconTR/Yeni%20Delhi-np-tr>		"Yeni Delhi"@tr	
"ya"@crh	<http://linguistic.linkeddata.es/id/apertium/lexiconCRH/ya-cnjcoo-crh>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/ya_ya-cnjcoo-crh-sense>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/ya_ya-cnjcoo-crh-sense-ya_ya-cnjcoo-tr-sense-trans>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/ya_ya-cnjcoo-tr-sense>	<http://linguistic.linkeddata.es/id/apertium/lexiconTR/ya-cnjcoo-tr>		"ya"@tr	
"Nadvirna"@crh	<http://linguistic.linkeddata.es/id/apertium/lexiconCRH/Nadvirna-np-crh>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Nadvirna_Nadvirna-np-crh-sense>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Nadvirna_Nadvirna-np-crh-sense-Nadvirna_Nadvirna-np-tr-sense-trans>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Nadvirna_Nadvirna-np-tr-sense>	<http://linguistic.linkeddata.es/id/apertium/lexiconTR/Nadvirna-np-tr>		"Nadvirna"@tr	
"italiyalı"@crh	<http://linguistic.linkeddata.es/id/apertium/lexiconCRH/italiyal%C4%B1-n-crh>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/italiyal%C4%B1_italyan-n-crh-sense>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/italiyal%C4%B1_italyan-n-crh-sense-italyan_italiyal%C4%B1-n-tr-sense-trans>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/italyan_italiyal%C4%B1-n-tr-sense>	<http://linguistic.linkeddata.es/id/apertium/lexiconTR/italyan-n-tr>		"italyan"@tr	
"tatar"@crh	<http://linguistic.linkeddata.es/id/apertium/lexiconCRH/tatar-n-crh>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/tatar_Tatar-n-crh-sense>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/tatar_Tatar-n-crh-sense-Tatar_tatar-n-tr-sense-trans>	<http://linguistic.linkeddata.es/id/apertium/tranSetCRH-TR/Tatar_tatar-n-tr-sense>	<http://linguistic.linkeddata.es/id/apertium/lexiconTR/Tatar-n-tr>		"Tatar"@tr	
